"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D47,D1,D46,D2,D45";"SOT-363_SC-70-6";5;"TPD4E1U06";;;
2;"RN1,RN2";"R_Array_Concave_4x0603";2;"R390*4";;;
3;"SW18,SW16,SW33,SW24,SW12,SW36,SW10,SW11,SW19,SW29,SW5,SW17,SW2,SW41,SW13,SW42,SW39,SW9,SW25,SW38,SW22,SW15,SW34,SW28,SW8,SW21,SW26,SW31,SW35,SW6,SW14,SW37,SW1,SW4,SW40,SW20,SW32,SW7,SW3,SW23,SW27,SW30";"SW_Choc_V1_V2_hotswap";42;"SW_Push";;;
4;"SW43,SW44";"PEC12R-4215F-S0024";2;"RotaryEncoder_Switch_MP";;;
5;"J7,J1";"JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical";2;"JST_SH_BM03B-SRSS-TB";;;
6;"J5";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"JST_SH_SM04B-SRSS-TB";;;
7;"J6";"JST_SUR_SM02B-SURS-TF_1x02-1MP_P0.80mm_Horizontal";1;"JST_SUR_SM02B-SURS-TF";;;
8;"J2";"Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal";1;"Hirose_FH12-22S-0.5SH";;;
9;"J4,J3";"JST_SUR_SM04B-SURS-TF_1x04-1MP_P0.80mm_Horizontal";2;"JST_SUR_SM04B-SURS-TF";;;
10;"U7,U1,U12,U2,U4,U5,U8,U9,U3,U6,U10,U11";"SOT-563";12;"BAT54CTB6_R1_00001";;;
11;"C3,C31,C38,C8,C4,C42,C33,C41,C5,C43,C18,C6,C7,C23,C20,C16,C25,C26,C15,C30,C11,C35,C13,C22,C24,C32,C28,C10,C29,C36,C9,C27,C39,C21,C12,C40,C48,C37,C2,C34,C19,C14,C17";"C_0603_1608Metric";43;"0.1uF";;;
12;"D24,D11,D7,D31,D19,D3,D20,D38,D34,D33,D27,D40,D35,D42,D44,D22,D9,D17,D43,D36,D14,D5,D29,D30,D25,D23,D18,D21,D8,D26,D37,D6,D4,D10,D15,D16,D28,D13,D32,D41,D39,D12";"LED_6028R";42;"SK6803MINI-E";;;
13;"R2,R3,R5,R4,R7";"R_0603_1608Metric";5;"10k";;;
14;"R17,R11,R13,R15,R16,R19,R18,R14,R10,R9,R8,R12";"R_0805_2012Metric";12;"R220";;;
15;"C1";"C_0805_2012Metric";1;"22uF";;;
16;"R1,R6";"R_0805_2012Metric";2;"R470";;;
17;"D48,D49";"D_SOD-323_TVS";2;"TI TSD05C";;;
18;"C44,C45,C47,C46";"C_0603_1608Metric";4;"10nF";;;
19;"FB1,FB2";"Ferrite_0805_2012Metric";2;"Ferrite_Bead";;;
20;"U13";"SOT-353_SC-70-5";1;"SN74LV1T125DCK";;;
21;"SW49,SW50";"TMHU27";2;"SW_rocker";;;
